Model name,Augmentation method,Seed,Config,Metric name,Metric value,Mapping,Method
Vgg16,FDA,1,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_bl_rv,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_bl,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_nor,2.9264214046822743,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_nor_hw,2.7868852459016393,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_nor_rv,3.0716723549488054,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_hw,2.7199999999999998,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_1,Err_rv,2.88,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_bl_rv,2.564102564102564,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_bl,1.8518518518518516,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_nor,4.013377926421405,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_nor_hw,2.622950819672131,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_nor_rv,5.460750853242321,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_hw,2.56,"(0, 0, 'CE')",Baseline
Vgg16,FDA,2,Config_1,Err_rv,5.28,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_bl_rv,2.564102564102564,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_bl,1.8518518518518516,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_nor,3.7625418060200673,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_nor_hw,3.606557377049181,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_nor_rv,3.9249146757679183,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_hw,3.52,"(0, 0, 'CE')",Baseline
Vgg16,FDA,3,Config_1,Err_rv,3.84,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_bl_rv,2.564102564102564,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_bl,1.8518518518518516,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_nor,3.595317725752508,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_nor_hw,2.7868852459016393,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_nor_rv,4.436860068259386,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_hw,2.7199999999999998,"(0, 0, 'CE')",Baseline
Vgg16,FDA,4,Config_1,Err_rv,4.32,"(0, 0, 'CE')",Baseline
Vgg16,FDA,5,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,5,Config_1,Err_bl_rv,2.564102564102564,"(0, 0, 'CE')",Baseline
Vgg16,FDA,5,Config_1,Err_bl,1.8518518518518516,"(0, 0, 'CE')",Baseline
Vgg16,FDA,5,Config_1,Err_nor,4.096989966555184,"(0, 0, 'CE')",Baseline
Vgg16,FDA,5,Config_1,Err_nor_hw,2.9508196721311477,"(0, 0, 'CE')",Baseline
Vgg16,FDA,5,Config_1,Err_nor_rv,5.290102389078498,"(0, 0, 'CE')",Baseline
