Model name,XAI method,Model type,Metric name,Metric value,Image,Image class,Prediction
ResNet18,GradCAM,Baseline,Deletion,0.9872892969287932,1,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.02291644792798636,2,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.026307487540378816,3,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9714175569824874,4,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.974770815577358,5,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.048266417672096384,6,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9249734031036496,7,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.014494225855323783,8,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9805523976683617,9,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.02214246801512143,10,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.974410358350724,11,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.01185950459388807,12,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9693745733238757,13,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.008734394866935988,14,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9541209591552615,15,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.988506575115025,16,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.9787547555752099,17,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.9113582107238472,18,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.01564827443012473,19,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.02168471986010445,20,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9896560064516962,21,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.9815024263225496,22,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.01180357857819624,23,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.907785170013085,24,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.008266804697989023,25,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9768734076060355,26,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.01070913875251378,27,Highway,True
ResNet18,GradCAM,Baseline,Deletion,0.9841558374464512,28,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.9969706987030804,29,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.90148153482005,30,Highway,False
ResNet18,GradCAM,Baseline,Deletion,0.9854804673232138,31,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9847456770949066,32,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9741192632354796,33,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9970815074630082,34,River,True
ResNet18,GradCAM,Baseline,Deletion,0.988044545520097,35,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9886103086173534,36,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9822604372166097,37,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9948266674764454,38,River,True
ResNet18,GradCAM,Baseline,Deletion,0.997561895288527,39,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9873473537154496,40,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9398479438386858,41,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9858894511125982,42,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9843479553237557,43,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9887884436175227,44,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9948802622966468,45,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9951322809793055,46,River,True
ResNet18,GradCAM,Baseline,Deletion,0.981159730348736,47,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9775078296661377,48,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9972952660173178,49,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9976581446826458,50,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9754762286320329,51,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9924167175777256,52,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9968016813509166,53,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9973071576096117,54,River,True
ResNet18,GradCAM,Baseline,Deletion,0.977177303750068,55,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9814504375681281,56,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9978263527154922,57,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9816561131738126,58,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9793799351900816,59,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9895095308311284,60,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9971101176925004,61,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9779334780760109,62,River,True
ResNet18,GradCAM,Baseline,Deletion,0.998166237026453,63,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9874350745230913,64,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9756371374242008,65,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9721302036195993,66,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9726603184826672,67,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9795874408446252,68,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9927274691872299,69,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9819406075403094,70,River,True
